CountyName,CountyCode,Year,Age-adjusted_Rates_Per_10k,Lower_95%_Limit,Upper_95%_Limit,Total
Marin ,06041,2014,25.2,23.3,27.3,643.0
Placer ,06061,2014,29.4,27.7,31.2,0.0
Santa Clara ,06085,2014,30.3,29.6,31.1,0.0
Lassen ,06035,2014,30.5,24.9,37.0,103.0
Orange ,06059,2014,31.3,30.7,31.9,0.0
San Luis Obispo ,06079,2014,31.9,29.9,34.1,870.0
El Dorado ,06017,2014,33.0,30.4,35.8,602.0
Plumas ,06063,2014,33.2,25.6,42.4,65.0
Mariposa ,06043,2014,33.7,25.7,43.3,60.0
Ventura ,06111,2014,33.7,32.5,35.0,0.0
Mono ,06051,2014,34.0,25.2,45.0,49.0
Santa Cruz ,06087,2014,34.3,32.1,36.6,925.0
San Diego ,06073,2014,35.3,34.6,36.0,0.0
San Mateo ,06081,2014,35.5,34.2,36.9,0.0
Santa Barbara ,06083,2014,36.3,34.5,38.1,0.0
San Francisco ,06075,2014,37.3,36.0,38.6,0.0
Nevada ,06057,2014,37.5,33.8,41.5,368.0
Glenn ,06021,2014,38.2,31.4,46.1,109.0
Sutter ,06101,2014,38.2,34.4,42.3,372.0
Sonoma ,06097,2014,38.4,36.7,40.2,0.0
Yolo ,06113,2014,39.2,36.6,42.0,813.0
Riverside ,06065,2014,41.6,40.8,42.5,0.0
Colusa ,06011,2014,41.9,33.8,51.4,92.0
Siskiyou ,06093,2014,43.2,37.3,49.8,192.0
Yuba ,06115,2014,43.4,38.8,48.4,323.0
Butte ,06007,2014,43.8,41.1,46.6,978.0
Tuolumne ,06109,2014,44.8,39.3,50.8,242.0
Del Norte ,06015,2014,45.0,37.6,53.5,128.0
Calaveras ,06009,2014,45.7,39.6,52.4,205.0
Napa ,06055,2014,46.2,42.7,49.9,647.0
California/Statewide,06000,2014,48.5,48.5,48.7,0.0
Monterey ,06053,2014,48.8,46.7,50.9,0.0
Inyo ,06027,2014,49.6,40.0,60.9,92.0
Los Angeles ,06037,2014,50.7,50.3,51.2,0.0
Tehama ,06103,2014,50.9,45.5,56.7,326.0
Tulare ,06107,2014,51.0,49.0,53.1,0.0
Mendocino ,06045,2014,52.0,47.3,56.9,462.0
San Benito ,06069,2014,53.7,47.9,60.1,307.0
Trinity ,06105,2014,58.4,46.2,72.9,78.0
San Bernardino ,06071,2014,59.8,58.8,60.9,0.0
Shasta ,06089,2014,60.8,57.2,64.5,0.0
Amador ,06005,2014,61.9,54.1,70.4,227.0
Madera ,06039,2014,62.1,58.3,66.2,980.0
Contra Costa ,06013,2014,62.5,61.1,64.0,0.0
Alameda ,06001,2014,63.2,62.0,64.5,0.0
Kern ,06029,2014,63.3,61.7,65.0,0.0
Modoc ,06049,2014,63.8,48.7,82.2,60.0
Stanislaus ,06099,2014,64.0,61.9,66.2,0.0
San Joaquin ,06077,2014,64.2,62.3,66.0,0.0
Humboldt ,06023,2014,66.9,62.6,71.4,905.0
Sacramento ,06067,2014,68.2,66.9,69.6,0.0
Lake ,06033,2014,74.0,67.5,80.9,479.0
Fresno ,06019,2014,78.5,76.7,80.3,0.0
Solano ,06095,2014,78.9,76.2,81.6,0.0
Kings ,06031,2014,80.1,75.7,84.7,0.0
Imperial ,06025,2014,81.2,77.2,85.4,0.0
Merced ,06047,2014,86.7,83.2,90.3,0.0
Marin ,06041,2015,21.2,19.5,23.1,541.0
Mono ,06051,2015,29.6,21.4,39.9,43.0
Placer ,06061,2015,30.2,28.5,32.1,0.0
El Dorado ,06017,2015,32.2,29.6,34.9,592.0
Orange ,06059,2015,32.7,32.0,33.3,0.0
Santa Cruz ,06087,2015,33.5,31.3,35.7,905.0
Sutter ,06101,2015,33.9,30.4,37.8,335.0
Ventura ,06111,2015,34.4,33.1,35.6,0.0
San Luis Obispo ,06079,2015,34.7,32.5,37.0,949.0
Santa Clara ,06085,2015,34.8,33.9,35.6,0.0
Nevada ,06057,2015,35.5,31.9,39.5,350.0
San Mateo ,06081,2015,36.0,34.6,37.4,0.0
San Diego ,06073,2015,36.1,35.4,36.7,0.0
San Francisco ,06075,2015,37.6,36.3,38.9,0.0
Sonoma ,06097,2015,38.9,37.2,40.7,0.0
Siskiyou ,06093,2015,39.5,33.9,45.8,176.0
Santa Barbara ,06083,2015,39.8,37.9,41.7,0.0
Napa ,06055,2015,40.4,37.2,43.9,569.0
Yolo ,06113,2015,40.7,38.0,43.5,851.0
Calaveras ,06009,2015,41.1,35.4,47.4,185.0
Glenn ,06021,2015,42.4,35.2,50.7,122.0
Riverside ,06065,2015,42.9,42.1,43.8,0.0
Lassen ,06035,2015,43.5,36.8,51.1,148.0
Colusa ,06011,2015,43.5,35.3,53.1,97.0
Mariposa ,06043,2015,43.9,34.8,54.7,79.0
Yuba ,06115,2015,45.6,40.9,50.7,345.0
Butte ,06007,2015,46.4,43.6,49.3,0.0
Inyo ,06027,2015,47.3,38.0,58.3,88.0
Tuolumne ,06109,2015,47.5,41.9,53.7,257.0
Del Norte ,06015,2015,48.7,40.9,57.5,139.0
California/Statewide,06000,2015,49.4,49.4,49.6,0.0
San Benito ,06069,2015,49.5,43.9,55.6,284.0
Plumas ,06063,2015,49.7,40.3,60.5,98.0
Tehama ,06103,2015,49.7,44.4,55.4,321.0
Trinity ,06105,2015,50.0,38.7,63.5,67.0
