"County","Crude rates per 10,000","Lower 95% Limit","Upper 95% Limit","Total"
"06000","44.2","44.2","44.5","174,119"
"06001","55.4","54.3","56.5","9,073"
"06003",,,,
"06005","50.0","43.1","57.7","186"
"06007","34.0","31.7","36.5","766"
"06009","38.2","32.7","44.4","171"
"06011","29.9","23.2","38.0","67"
"06013","53.2","51.8","54.5","6,008"
"06015","63.2","54.1","73.5","171"
"06017","30.6","28.1","33.3","564"
"06019","70.0","68.3","71.7","6,922"
"06021","35.4","28.9","43.0","103"
"06023","59.8","55.8","64.1","814"
"06025","68.7","65.0","72.6","1,286"
"06027","48.3","38.8","59.3","90"
"06029","56.1","54.5","57.7","4,986"
"06031","68.5","64.4","72.9","1,024"
"06033","74.8","68.3","81.7","487"
"06035","37.9","31.3","45.4","116"
"06037","49.3","48.9","49.8","50,476"
"06039","61.3","57.5","65.3","954"
"06041","20.6","18.9","22.4","543"
"06043","36.5","28.3","46.5","66"
"06045","50.3","45.8","55.2","448"
"06047","81.0","77.6","84.4","2,207"
"06049","62.3","47.4","80.4","59"
"06051","23.9","16.5","33.6","33"
"06053","44.3","42.3","46.3","1,953"
"06055","30.9","28.0","33.9","439"
"06057","27.1","23.9","30.5","267"
"06059","27.9","27.3","28.4","8,861"
"06061","25.7","24.1","27.4","967"
"06063","50.8","41.3","61.8","99"
"06065","40.6","39.8","41.4","9,576"
"06067","59.3","58.1","60.6","8,938"
"06069","46.0","40.7","51.9","267"
"06071","52.6","51.6","53.6","11,302"
"06073","30.5","29.9","31.1","10,056"
"06075","34.3","33.1","35.5","2,987"
"06077","57.3","55.6","59.0","4,233"
"06079","33.1","31.0","35.3","924"
"06081","30.9","29.7","32.2","2,377"
"06083","36.5","34.8","38.4","1,638"
"06085","28.6","27.9","29.4","5,522"
"06087","31.2","29.2","33.4","862"
"06089","40.6","37.7","43.7","724"
"06091",,,,
"06093","28.9","24.1","34.3","128"
"06095","76.9","74.3","79.6","3,340"
"06097","33.4","31.8","35.0","1,681"
"06099","50.6","48.7","52.5","2,757"
"06101","32.8","29.3","36.6","322"
"06103","52.3","46.8","58.2","335"
"06105","40.8","30.7","53.1","55"
"06107","42.3","40.4","44.2","1,979"
"06109","41.3","36.0","47.0","224"
"06111","30.6","29.4","31.8","2,613"
"06113","35.4","33.0","38.0","768"
"06115","38.9","34.6","43.6","296"
