County,Year,Population
Alameda,2014," 1,588,576 "
Alpine,2014," 1,163 "
Amador,2014," 37,815 "
Butte,2014," 223,137 "
Calaveras,2014," 45,358 "
Colusa,2014," 21,794 "
Contra Costa,2014," 1,098,018 "
Del Norte,2014," 27,343 "
El Dorado,2014," 182,030 "
Fresno,2014," 964,611 "
Glenn,2014," 28,497 "
Humboldt,2014," 134,977 "
Imperial,2014," 182,006 "
Inyo,2014," 18,613 "
Kern,2014," 871,803 "
Kings,2014," 149,754 "
Lake,2014," 64,851 "
Lassen,2014," 31,982 "
Los Angeles,2014," 10,088,458 "
Madera,2014," 153,224 "
Marin,2014," 260,622 "
Mariposa,2014," 18,218 "
Mendocino,2014," 88,194 "
Merced,2014," 266,528 "
Modoc,2014," 9,636 "
Mono,2014," 13,935 "
Monterey,2014," 429,308 "
Napa,2014," 140,189 "
Nevada,2014," 97,842 "
Orange,2014," 3,126,918 "
Placer,2014," 367,108 "
Plumas,2014," 19,893 "
Riverside,2014," 2,291,262 "
Sacramento,2014," 1,465,964 "
San Benito,2014," 56,219 "
San Bernardino,2014," 2,100,689 "
San Diego,2014," 3,230,269 "
San Francisco,2014," 848,448 "
San Joaquin,2014," 712,134 "
San Luis Obispo,2014," 275,625 "
San Mateo,2014," 752,700 "
Santa Barbara,2014," 438,512 "
Santa Clara,2014," 1,880,197 "
Santa Cruz,2014," 271,134 "
Shasta,2014," 178,831 "
Sierra,2014," 3,204 "
Siskiyou,2014," 44,809 "
Solano,2014," 423,371 "
Sonoma,2014," 495,864 "
Stanislaus,2014," 529,850 "
Sutter,2014," 96,036 "
Tehama,2014," 63,743 "
Trinity,2014," 13,722 "
Tulare,2014," 458,864 "
Tuolumne,2014," 55,082 "
Ventura,2014," 847,232 "
Yolo,2014," 208,820 "
Yuba,2014," 73,646 "
Alameda,2015," 1,611,770 "
Alpine,2015," 1,163 "
Amador,2015," 37,765 "
Butte,2015," 224,285 "
Calaveras,2015," 45,267 "
Colusa,2015," 21,873 "
Contra Costa,2015," 1,112,328 "
Del Norte,2015," 26,953 "
El Dorado,2015," 183,172 "
Fresno,2015," 975,043 "
Glenn,2015," 28,564 "
Humboldt,2015," 135,183 "
Imperial,2015," 184,569 "
Inyo,2015," 18,563 "
Kern,2015," 880,346 "
Kings,2015," 149,730 "
Lake,2015," 65,146 "
Lassen,2015," 31,608 "
Los Angeles,2015," 10,149,661 "
Madera,2015," 154,827 "
Marin,2015," 262,409 "
Mariposa,2015," 18,172 "
Mendocino,2015," 88,215 "
Merced,2015," 269,111 "
Modoc,2015," 9,617 "
Mono,2015," 13,868 "
Monterey,2015," 432,740 "
Napa,2015," 140,884 "
Nevada,2015," 98,217 "
Orange,2015," 3,152,314 "
Placer,2015," 370,387 "
Plumas,2015," 19,860 "
Riverside,2015," 2,317,895 "
Sacramento,2015," 1,481,969 "
San Benito,2015," 56,452 "
San Bernardino,2015," 2,120,672 "
San Diego,2015," 3,264,449 "
San Francisco,2015," 858,224 "
San Joaquin,2015," 723,856 "
San Luis Obispo,2015," 276,669 "
San Mateo,2015," 760,343 "
Santa Barbara,2015," 442,987 "
Santa Clara,2015," 1,905,156 "
Santa Cruz,2015," 273,966 "
Shasta,2015," 179,004 "
Sierra,2015," 3,195 "
Siskiyou,2015," 44,731 "
Solano,2015," 427,148 "
Sonoma,2015," 500,083 "
Stanislaus,2015," 534,905 "
Sutter,2015," 96,390 "
Tehama,2015," 63,839 "
Trinity,2015," 13,676 "
Tulare,2015," 462,033 "
Tuolumne,2015," 54,664 "
Ventura,2015," 851,426 "
Yolo,2015," 211,078 "
Yuba,2015," 74,044 "
Alameda,2016," 1,629,738 "
Alpine,2016," 1,160 "
Amador,2016," 37,667 "
Butte,2016," 224,432 "
Calaveras,2016," 45,246 "
Colusa,2016," 21,965 "
Contra Costa,2016," 1,127,279 "
Del Norte,2016," 26,956 "
El Dorado,2016," 184,461 "
Fresno,2016," 984,537 "
Glenn,2016," 28,639 "
Humboldt,2016," 135,417 "
Imperial,2016," 186,019 "
Inyo,2016," 18,632 "
Kern,2016," 886,153 "
Kings,2016," 149,744 "
Lake,2016," 64,741 "
Lassen,2016," 30,822 "
Los Angeles,2016," 10,180,169 "
Madera,2016," 154,906 "
Marin,2016," 263,210 "
Mariposa,2016," 18,167 "
Mendocino,2016," 88,721 "
Merced,2016," 271,500 "
Modoc,2016," 9,625 "
Mono,2016," 13,676 "
