COUNTY,POPULATION
Alameda,1619244
Alpine,1165
Amador,37302
Butte,224301
Calaveras,44881
Colusa,22312
Contra Costa,1116385
Del Norte,27089
El Dorado,182917
Fresno,980980
Glenn,29000
Humboldt,134825
Imperial,184760
Inyo,18697
Kern,884436
Kings,149813
Lake,65023
Lassen,30988
Los Angeles,10192374
Madera,154982
Marin,261663
Mariposa,18097
Mendocino,88379
Merced,270156
Modoc,9566
Mono,13762
Monterey,435658
Napa,141625
Nevada,97946
Orange,3165203
Placer,371558
Plumas,19675
Riverside,2331040
Sacramento,1489308
San Benito,57572
San Bernardino,2127735
San Diego,3275546
San Francisco,862470
San Joaquin,728509
San Luis Obispo,276142
San Mateo,762327
Santa Barbara,445444
Santa Clara,1915407
Santa Cruz,274594
Shasta,178795
Sierra,3166
Siskiyou,44563
Solano,429384
Sonoma,500487
Stanislaus,537957
Sutter,97701
Tehama,63975
Trinity,13583
Tulare,465013
Tuolumne,54511
Ventura,852964
Yolo,212747
Yuba,75621
Los Angeles,10192374
San Diego,3275546
Orange,3165203
Riverside,2331040
San Bernardino,2127735
Santa Clara,1915407
Alameda,1619244
Sacramento,1489308
Contra Costa,1116385
Fresno,980980
Kern,884436
San Francisco,862470
Ventura,852964
San Mateo,762327
San Joaquin,728509
Stanislaus,537957
Sonoma,500487
Tulare,465013
Santa Barbara,445444
Monterey,435658
Solano,429384
Placer,371558
San Luis Obispo,276142
Santa Cruz,274594
Merced,270156
Marin,261663
Butte,224301
Yolo,212747
Imperial,184760
El Dorado,182917
Shasta,178795
Madera,154982
Kings,149813
Napa,141625
Humboldt,134825
Nevada,97946
Sutter,97701
Mendocino,88379
Yuba,75621
Lake,65023
Tehama,63975
San Benito,57572
Tuolumne,54511
Calaveras,44881
Siskiyou,44563
Amador,37302
Lassen,30988
Glenn,29000
Del Norte,27089
Colusa,22312
Plumas,19675
Inyo,18697
Mariposa,18097
Mono,13762
Trinity,13583
Modoc,9566
Sierra,3166
Alpine,1165
California,39071323
