COUNTY,YEARS,STRATA,AGE GROUP,CURRENT PREVALENCE,95% CONFIDENCE INTERVAL,COUNTIES GROUPED,COMMENT,,,,,,,,
California,2015–2016,Total population,All ages,8.7%,(8.1–9.3),,,,,,,,,,
Alameda,2015–2016,Total population,All ages,9.1%,(5.9–12.2),,,,,,,,,,
Alpine,2015–2016,Total population,All ages,9.3%,(4.1–14.6),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",,,,,,,,,
Amador,2015–2016,Total population,All ages,9.3%,(4.1–14.6),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",,,,,,,,,
Butte,2015–2016,Total population,All ages,9.4%,(3.8–15.1),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.,,,,,,,,
Calaveras,2015–2016,Total population,All ages,9.3%,(4.1–14.6),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",,,,,,,,,
Colusa,2015–2016,Total population,All ages,7.3%,(2.7–12.0),"Colusa, Glenn, and Tehama counties combined combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.,,,,,,,,
Contra Costa,2015–2016,Total population,All ages,12.1%,(5.2–19.1),,,,,,,,,,
Del Norte,2015–2016,Total population,All ages,7.2%,(1.2–13.3),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.,,,,,,,,
El Dorado,2015–2016,Total population,All ages,12.1%,(2.9–21.2),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.,,,,,,,,
Fresno,2015–2016,Total population,All ages,11.3%,(6.2–16.4),,,,,,,,,,
Glenn,2015–2016,Total population,All ages,7.3%,(2.7–12.0),"Colusa, Glenn, and Tehama counties combined combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.,,,,,,,,
Humboldt,2015–2016,Total population,All ages,12.5%,(3.4–21.6),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.,,,,,,,,
Imperial,2015–2016,Total population,All ages,12.1%,(6.9–17.4),,,,,,,,,,
Inyo,2015–2016,Total population,All ages,9.3%,(4.1–14.6),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",,,,,,,,,
Kern,2015–2016,Total population,All ages,16.7%,(9.3–24.0),,,,,,,,,,
Kings,2015–2016,Total population,All ages,15.8%,(7.9–23.6),,,,,,,,,,
Lake,2015–2016,Total population,All ages,17.3%,(9.1–25.6),,,,,,,,,,
Lassen,2015–2016,Total population,All ages,7.2%,(1.2–13.3),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.,,,,,,,,
Los Angeles,2015–2016,Total population,All ages,7.8%,(6.6–9.0),,,,,,,,,,
Madera,2015–2016,Total population,All ages,10.3%,(3.3–17.4),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.,,,,,,,,
