YEAR,COUNTY,HOSPITAL,OSHPDID,Procedure/Condition,Risk Adjuested Mortality Rate,# of Deaths,# of Cases,Hospital Ratings,LONGITUDE,LATITUDE
2012,AAAA,STATEWIDE,,PCI,2.5,1015,40790,,,
2012,AAAA,STATEWIDE,,Pneumonia,4,2606,64400,,,
2012,AAAA,STATEWIDE,,GI Hemorrhage,2.1,1024,47893,,,
2012,AAAA,STATEWIDE,,Pancreatic Other,2.8,22,794,,,
2012,AAAA,STATEWIDE,,AMI,6.3,2938,46663,,,
2012,AAAA,STATEWIDE,,Espophageal Resection,5.7,22,387,,,
2012,AAAA,STATEWIDE,,Acute Stroke Ischemic,5.3,2150,40900,,,
2012,AAAA,STATEWIDE,,Acute Stroke Hemorrhagic,23,2432,10576,,,
2012,AAAA,STATEWIDE,,Hip Fracture,2.3,552,23774,,,
2012,AAAA,STATEWIDE,,Pancreatic Resection,2.4,41,1724,,,
2012,AAAA,STATEWIDE,,Acute Stroke,9.6,5227,54191,,,
2012,AAAA,STATEWIDE,,Acute Stroke Subarachnoid,23.8,645,2715,,,
2012,AAAA,STATEWIDE,,Heart Failure,3,2458,81250,,,
2012,AAAA,STATEWIDE,,Carotid Endarterectomy,0.5,31,6407,,,
2012,AAAA,STATEWIDE,,Craniotomy,7.1,1065,15030,,,
2012,AAAA,STATEWIDE,,AAA Repair,1.1,26,2437,,,
2012,AAAA,STATEWIDE,,Pancreatic Cancer,2,19,930,,,
2012,Alameda,Alameda Hospital,106010735,PCI,,,,As Expected,-122.25362,37.762953
2012,Alameda,Alameda Hospital,106010735,AMI,5.5,4,41,As Expected,-122.25362,37.762953
2012,Alameda,Alameda Hospital,106010735,Acute Stroke Ischemic,2.3,1,60,As Expected,-122.25362,37.762953
2012,Alameda,Alameda Hospital,106010735,Pancreatic Resection,,,,As Expected,-122.25362,37.762953
2012,Alameda,Alameda Hospital,106010735,GI Hemorrhage,1.3,1,65,As Expected,-122.25362,37.762953
2012,Alameda,Alameda Hospital,106010735,Carotid Endarterectomy,0,0,5,As Expected,-122.25362,37.762953
2012,Alameda,Alameda Hospital,106010735,Espophageal Resection,,,,As Expected,-122.25362,37.762953
2012,Alameda,Alameda Hospital,106010735,Acute Stroke Hemorrhagic,25.1,5,11,As Expected,-122.25362,37.762953
2012,Alameda,Alameda Hospital,106010735,Craniotomy,,,,As Expected,-122.25362,37.762953
2012,Alameda,Alameda Hospital,106010735,Heart Failure,2.6,5,139,As Expected,-122.25362,37.762953
2012,Alameda,Alameda Hospital,106010735,Acute Stroke,8.8,7,72,As Expected,-122.25362,37.762953
2012,Alameda,Alameda Hospital,106010735,Pancreatic Other,,,,As Expected,-122.25362,37.762953
2012,Alameda,Alameda Hospital,106010735,Acute Stroke Subarachnoid,,,,As Expected,-122.25362,37.762953
2012,Alameda,Alameda Hospital,106010735,AAA Repair,,,,As Expected,-122.25362,37.762953
2012,Alameda,Alameda Hospital,106010735,Hip Fracture,0,0,35,As Expected,-122.25362,37.762953
