PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS,,,,,,,,,,,,,,
REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
States,California,2015,40,X,1.38064,X,X,X,X,X,X,558,125,40416
States,California,2015,41,X,1.5661,X,X,X,X,X,X,653,138,41696
States,California,2015,42,X,1.50411,X,X,X,X,X,X,677,140,45010
States,California,2015,43,X,1.61772,X,X,X,X,X,X,715,151,44198
States,California,2015,44,X,1.73589,X,X,X,X,X,X,800,157,46086
States,California,2015,45,X,1.80813,X,X,X,X,X,X,782,156,43249
States,California,2015,46,X,2.14097,X,X,X,X,X,X,996,157,46521
States,California,2015,47,X,2.39866,X,X,X,X,X,X,687,153,28641
States,California,2015,48,X,2.02273,X,X,X,X,X,X,936,152,46274
States,California,2015,49,X,2.07101,X,X,X,X,X,X,938,152,45292
States,California,2015,50,X,2.17017,X,X,X,X,X,X,856,149,39444
States,California,2015,51,X,2.91333,X,X,X,X,X,X,723,145,24817
States,California,2015,52,X,3.27722,X,X,X,X,X,X,806,139,24594
States,California,2016,1,X,2.5018,X,X,X,X,X,X,1077,153,43049
States,California,2016,2,X,2.47039,X,X,X,X,X,X,1043,143,42220
States,California,2016,3,X,2.68971,X,X,X,X,X,X,1097,138,40785
States,California,2016,4,X,2.83328,X,X,X,X,X,X,1347,148,47542
States,California,2016,5,X,3.28407,X,X,X,X,X,X,1600,152,48720
States,California,2016,6,X,3.91439,X,X,X,X,X,X,1882,146,48079
States,California,2016,7,X,4.39619,X,X,X,X,X,X,1893,139,43060
States,California,2016,8,X,3.73143,X,X,X,X,X,X,1859,147,49820
States,California,2016,9,X,3.63724,X,X,X,X,X,X,1804,148,49598
States,California,2016,10,X,3.69442,X,X,X,X,X,X,1636,129,44283
States,California,2016,11,X,3.19283,X,X,X,X,X,X,1293,125,40497
States,California,2016,12,X,2.99262,X,X,X,X,X,X,1201,139,40132
States,California,2016,13,X,2.80927,X,X,X,X,X,X,1053,131,37483
States,California,2016,14,X,2.11652,X,X,X,X,X,X,938,139,44318
States,California,2016,15,X,1.92403,X,X,X,X,X,X,855,133,44438
States,California,2016,16,X,1.62852,X,X,X,X,X,X,710,128,43598
States,California,2016,17,X,1.73597,X,X,X,X,X,X,711,123,40957
States,California,2016,18,X,1.84902,X,X,X,X,X,X,726,115,39264
States,California,2016,19,X,1.53059,X,X,X,X,X,X,586,109,38286
States,California,2016,20,X,1.48681,X,X,X,X,X,X,527,102,35445
States,California,2016,21,X,1.44399,X,X,X,X,X,X,515,99,35665
States,California,2016,22,X,1.37865,X,X,X,X,X,X,417,105,30247
States,California,2016,23,X,1.36671,X,X,X,X,X,X,440,97,32194
States,California,2016,24,X,1.2644,X,X,X,X,X,X,395,102,31240
States,California,2016,25,X,1.15867,X,X,X,X,X,X,376,100,32451
States,California,2016,26,X,1.21986,X,X,X,X,X,X,381,96,31233
States,California,2016,27,X,1.14608,X,X,X,X,X,X,299,97,26089
States,California,2016,28,X,1.04573,X,X,X,X,X,X,324,98,30983
States,California,2016,29,X,0.904141,X,X,X,X,X,X,269,96,29752
States,California,2016,30,X,0.856349,X,X,X,X,X,X,262,96,30595
States,California,2016,31,X,0.85127,X,X,X,X,X,X,246,82,28898
States,California,2016,32,X,0.896093,X,X,X,X,X,X,267,83,29796
States,California,2016,33,X,1.00994,X,X,X,X,X,X,310,83,30695
States,California,2016,34,X,1.04709,X,X,X,X,X,X,342,81,32662
States,California,2016,35,X,1.30993,X,X,X,X,X,X,447,82,34124
States,California,2016,36,X,1.36273,X,X,X,X,X,X,398,81,29206
States,California,2016,37,X,1.71708,X,X,X,X,X,X,604,86,35176
States,California,2016,38,X,1.78398,X,X,X,X,X,X,624,88,34978
States,California,2016,39,X,1.65703,X,X,X,X,X,X,636,95,38382
States,California,2016,40,X,1.25288,X,X,X,X,X,X,668,129,53317
States,California,2016,41,X,1.39291,X,X,X,X,X,X,760,134,54562
States,California,2016,42,X,1.51631,X,X,X,X,X,X,812,131,53551
States,California,2016,43,X,1.52383,X,X,X,X,X,X,833,130,54665
States,California,2016,44,X,1.57619,X,X,X,X,X,X,849,132,53864
States,California,2016,45,X,1.74694,X,X,X,X,X,X,942,136,53923
States,California,2016,46,X,1.7768,X,X,X,X,X,X,993,133,55887
States,California,2016,47,X,2.14459,X,X,X,X,X,X,865,133,40334
States,California,2016,48,X,2.00773,X,X,X,X,X,X,1091,132,54340
States,California,2016,49,X,2.07484,X,X,X,X,X,X,1114,133,53691
States,California,2016,50,X,2.37525,X,X,X,X,X,X,1190,124,50100
States,California,2016,51,X,2.87829,X,X,X,X,X,X,1233,122,42838
