No,Station,County
1,Berkeley Aquatic Park,Alameda
2,Bethel Island,Contra Costa
3,Concord,Contra Costa
4,Crockett - Kendall Ave.,Houston
5,Fairfield - Chadbourne Rd.,Solano
6,Forest Knolls,Marin
7,Gilroy,Santa Clara
8,Hayward,Alameda
9,Laney College,Alameda
10,Livermore - Rincon Ave.,Alameda
11,Los Gatos,Santa Clara
12,Martinez - Jones St.,Contra Costa
13,Napa,Napa
14,Napa - Napa Valley College,Napa
15,Oakland East,Alameda
16,Oakland West,Alameda
17,Pittsburg - Loveridge’,Contra Costa
18,Pleasanton,Alameda
19,Pleasanton - Owens Ct.,Alameda
20,Pt. Richmond,Contra Costa
21,Redwood city,San Mateo
22,Richmond - 7th. St.,Contra Costa
23,Rodeo,Contra Costa
24,San Francisco - Arkansas St.,San Francisco
25,San Jose - Jackson St.,Santa Clara
26,San Jose - Knox Ave.,Santa Clara
27,San Martin - Airport,Marin
28,San Pablo - Rumrill,Contra Costa
29,San Rafael,Marin
30,San Ramon,Contra Costa
31,Sebastopol,Sonoma
32,Vallejo,Solano
